,TARA_056_MES_0.22-3,TARA_056_SRF_0.22-3,TARA_057_SRF_0.22-3,TARA_058_DCM_0.22-3,TARA_062_SRF_0.22-3,TARA_064_DCM_0.22-3,TARA_064_MES_0.22-3,TARA_064_SRF_0.22-3,TARA_065_DCM_0.22-3,TARA_065_MES_0.22-3,TARA_065_SRF_0.22-3,TARA_066_DCM_0.22-3,TARA_066_SRF_0.22-3,TARA_067_SRF_0.22-3,TARA_068_DCM_0.22-3,TARA_068_MES_0.22-3,TARA_068_SRF_0.22-3,TARA_070_MES_0.22-3,TARA_070_SRF_0.22-3,TARA_072_DCM_0.22-3,TARA_072_MES_0.22-3,TARA_072_SRF_0.22-3,TARA_076_DCM_0.22-3,TARA_076_MES_0.22-3,TARA_076_SRF_0.22-3,TARA_078_DCM_0.22-3,TARA_078_MES_0.22-3,TARA_078_SRF_0.22-3,TARA_082_DCM_0.22-3,TARA_082_SRF_0.22-3,TARA_084_SRF_0.22-3,TARA_085_DCM_0.22-3,TARA_085_MES_0.22-3,TARA_085_SRF_0.22-3,TARA_093_DCM_0.22-3,TARA_093_SRF_0.22-3,TARA_094_SRF_0.22-3,TARA_096_SRF_0.22-3,TARA_098_DCM_0.22-3,TARA_098_MES_0.22-3,TARA_098_SRF_0.22-3,TARA_099_SRF_0.22-3,TARA_100_DCM_0.22-3,TARA_100_MES_0.22-3,TARA_100_SRF_0.22-3,TARA_102_DCM_0.22-3,TARA_102_MES_0.22-3,TARA_102_SRF_0.22-3,TARA_109_DCM_0.22-3,TARA_109_MES_0.22-3,TARA_109_SRF_0.22-3,TARA_110_DCM_0.22-3,TARA_110_MES_0.22-3,TARA_110_SRF_0.22-3,TARA_111_DCM_0.22-3,TARA_111_MES_0.22-3,TARA_111_SRF_0.22-3,TARA_112_DCM_0.22-3,TARA_112_MES_0.22-3,TARA_112_SRF_0.22-3,TARA_122_DCM_0.22-3,TARA_122_MES_0.22-3,TARA_122_SRF_0.22-3,TARA_123_MIX_0.22-3,TARA_123_SRF_0.22-3,TARA_124_MIX_0.22-3,TARA_124_SRF_0.22-3,TARA_125_MIX_0.22-3,TARA_125_SRF_0.22-3,TARA_128_DCM_0.22-3,TARA_128_SRF_0.22-3,TARA_132_DCM_0.22-3,TARA_132_MES_0.22-3,TARA_132_SRF_0.22-3,TARA_133_DCM_0.22-3,TARA_133_MES_0.22-3,TARA_133_SRF_0.22-3,TARA_137_DCM_0.22-3,TARA_137_MES_0.22-3,TARA_137_SRF_0.22-3,TARA_138_DCM_0.22-3,TARA_138_MES_0.22-3,TARA_138_SRF_0.22-3,TARA_140_SRF_0.22-3,TARA_141_SRF_0.22-3,TARA_142_DCM_0.22-3,TARA_142_MES_0.22-3,TARA_142_SRF_0.22-3,TARA_145_MES_0.22-3,TARA_145_SRF_0.22-3,TARA_146_MES_0.22-3,TARA_146_SRF_0.22-3,TARA_148_SRF_0.22-3,TARA_148b_MES_0.22-3,TARA_149_MES_0.22-3,TARA_149_SRF_0.22-3,TARA_150_DCM_0.22-3,TARA_150_SRF_0.22-3,TARA_151_DCM_0.22-3,TARA_151_SRF_0.22-3,TARA_152_MES_0.22-3,TARA_152_MIX_0.22-3,TARA_152_SRF_0.22-3
00100 Steroid biosynthesis [PATH:ko00100],8.76E-05,6.66E-05,8.96E-05,7.71E-05,8.59E-05,0.00030331,0.00012217,0.00013154,0.00017065,0.00012423,0.00015193,0.0001654,0.00016659,0.00012067,0.00024315,0.00013684,0.0002165,8.68E-05,0.00034455,0.00010753,7.60E-05,6.80E-05,0.00022689,0.00011883,0.00010336,0.00017837,0.00010174,9.12E-05,0.00017001,0.00013479,6.45E-05,0.00012969,0.00018062,4.81E-05,2.76E-05,2.70E-05,3.98E-05,4.03E-05,9.66E-05,0.00012409,4.44E-05,5.39E-05,8.39E-05,0.00012549,4.08E-05,9.11E-05,0.00011292,5.88E-05,6.99E-05,0.00011456,5.72E-05,0.00017549,0.00012633,7.77E-05,0.00010127,0.00013705,8.31E-05,0.00011379,0.00010986,6.22E-05,0.0001049,0.000127,9.35E-05,0.00019712,0.00026288,0.00011795,0.00010573,0.00016035,9.45E-05,0.00012124,0.00012745,0.00027657,0.00013386,5.18E-05,0.00013703,0.00013156,6.08E-05,6.90E-05,8.42E-05,5.90E-05,0.00021413,0.0001095,5.61E-05,4.01E-05,3.27E-05,0.00016899,0.00011557,0.00013695,0.00016222,0.00033138,0.00013377,0.00021551,0.00017154,0.00020424,0.00011784,0.00023656,0.00014547,0.00014647,0.00019032,0.00015361,0.00012086,0.00016608,0.00015864
00121 Secondary bile acid biosynthesis [PATH:ko00121],6.15E-05,3.97E-05,5.40E-05,4.78E-05,4.31E-05,6.80E-05,4.03E-05,4.19E-05,6.28E-05,4.80E-05,4.74E-05,5.83E-05,5.77E-05,0.00017933,6.08E-05,3.82E-05,6.19E-05,3.48E-05,6.01E-05,6.37E-05,3.90E-05,3.21E-05,5.68E-05,4.67E-05,2.94E-05,5.92E-05,2.96E-05,3.92E-05,9.90E-05,0.00011543,0.00011454,4.01E-05,4.81E-05,2.29E-05,8.57E-05,6.26E-05,6.52E-05,1.75E-05,4.29E-05,3.43E-05,1.63E-05,2.25E-05,5.10E-05,2.57E-05,5.07E-05,7.06E-05,5.03E-05,3.89E-05,5.10E-05,5.01E-05,5.00E-05,5.18E-05,4.01E-05,4.82E-05,4.71E-05,5.29E-05,4.65E-05,4.28E-05,4.24E-05,2.32E-05,4.56E-05,6.90E-05,3.97E-05,4.41E-05,0.00011311,6.44E-05,6.55E-05,2.99E-05,5.24E-05,6.05E-05,4.90E-05,4.46E-05,4.10E-05,2.06E-05,7.07E-05,5.07E-05,5.32E-05,2.23E-05,2.27E-05,3.43E-05,6.98E-05,3.00E-05,3.29E-05,5.11E-05,7.58E-05,6.18E-05,5.57E-05,7.14E-05,2.53E-05,5.46E-05,5.20E-05,6.75E-05,6.92E-05,2.66E-05,4.66E-05,6.33E-05,6.79E-05,5.77E-05,6.27E-05,4.64E-05,3.90E-05,6.03E-05,6.03E-05
00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130],0.0059973,0.0066882,0.0066087,0.0062867,0.0063303,0.0056573,0.0053288,0.006756,0.0057611,0.0053634,0.0057769,0.005767,0.0058076,0.0056167,0.00694,0.0053977,0.0068546,0.005963,0.00658,0.0056074,0.0062652,0.0063909,0.0059399,0.0055687,0.0064808,0.0061576,0.0055326,0.0066946,0.006329,0.0064256,0.0068071,0.0064455,0.0056459,0.0070611,0.0060359,0.0062488,0.0062667,0.0059095,0.0066598,0.0052602,0.0061286,0.0065076,0.0062621,0.0052347,0.0061838,0.0055107,0.0055457,0.0056876,0.0058634,0.0053471,0.006031,0.0057391,0.0055899,0.0058665,0.006336,0.0052601,0.0059761,0.0068589,0.0053719,0.006585,0.0063644,0.0057349,0.0061532,0.0053404,0.0061023,0.0057434,0.0064568,0.0051888,0.0059098,0.0062967,0.0065395,0.005871,0.0052929,0.0065356,0.0056416,0.005598,0.0060739,0.0050518,0.0051851,0.005856,0.0054704,0.0053019,0.006531,0.0060714,0.006443,0.0063,0.0056084,0.0062161,0.0054325,0.0058483,0.0051064,0.0057625,0.0058479,0.0055001,0.0052248,0.0057826,0.005886,0.0059474,0.0054466,0.0056552,0.0053045,0.0058398,0.0057895
00190 Oxidative phosphorylation [PATH:ko00190],0.03581,0.036046,0.03711,0.036034,0.035938,0.03838,0.036474,0.037029,0.037176,0.037024,0.036932,0.035932,0.035354,0.032117,0.036778,0.036089,0.037278,0.032576,0.036927,0.036276,0.034639,0.033727,0.034002,0.034921,0.035481,0.036268,0.036186,0.035322,0.033858,0.03377,0.033938,0.035991,0.033366,0.037288,0.032439,0.032717,0.035171,0.034678,0.036964,0.036596,0.035264,0.035095,0.036079,0.036058,0.03421,0.034737,0.036724,0.035102,0.035282,0.036461,0.035419,0.035074,0.036047,0.035055,0.036824,0.036835,0.035352,0.03694,0.036108,0.036022,0.036983,0.036448,0.03679,0.037493,0.036472,0.03603,0.036378,0.036299,0.037894,0.035897,0.035863,0.034389,0.035746,0.036162,0.033339,0.035928,0.033184,0.035487,0.035798,0.036869,0.036902,0.034997,0.036811,0.035,0.035551,0.037103,0.036322,0.037855,0.036294,0.037351,0.037048,0.038649,0.038258,0.037831,0.037505,0.037961,0.036858,0.037062,0.037019,0.036526,0.036971,0.035397,0.035466
00194 Photosynthesis proteins [BR:ko00194],0.0095436,0.021353,0.022196,0.01987,0.019341,0.020229,0.0060638,0.020287,0.013575,0.0061277,0.012657,0.010925,0.010618,0.012294,0.024493,0.0064392,0.026766,0.0064474,0.020593,0.013607,0.015959,0.020972,0.015414,0.0058469,0.021419,0.014451,0.0075794,0.020951,0.012886,0.015573,0.012212,0.01225,0.0066419,0.011988,0.010897,0.013394,0.01306,0.012228,0.01766,0.0058689,0.013797,0.016258,0.016164,0.0078338,0.015617,0.015255,0.0062217,0.014693,0.016087,0.0070519,0.016277,0.014534,0.0094546,0.014627,0.016299,0.0064311,0.015136,0.01915,0.0061008,0.018452,0.01408,0.008068,0.016891,0.0079885,0.016059,0.0093491,0.019215,0.0073091,0.013991,0.015413,0.016881,0.016176,0.0064696,0.020546,0.014696,0.0058185,0.014749,0.0081219,0.0067127,0.016094,0.015285,0.0067405,0.021257,0.018455,0.018187,0.014932,0.0061767,0.01564,0.0061129,0.011789,0.0061664,0.011526,0.013678,0.0067153,0.0061905,0.012553,0.016599,0.016987,0.010565,0.014511,0.0064039,0.013382,0.014993
00195 Photosynthesis [PATH:ko00195],0.0088154,0.019524,0.018891,0.018108,0.017528,0.017893,0.005759,0.018297,0.011704,0.005809,0.011498,0.010211,0.01,0.01131,0.021175,0.0061252,0.023385,0.0059886,0.018008,0.01237,0.014761,0.019362,0.014161,0.0055281,0.019778,0.012983,0.0071155,0.019028,0.012437,0.015127,0.011791,0.011862,0.0063838,0.011562,0.0097514,0.01132,0.011929,0.011487,0.015303,0.0056248,0.012848,0.015071,0.013809,0.0074237,0.014594,0.013359,0.0059424,0.01342,0.014831,0.0067212,0.014522,0.013198,0.0087283,0.013305,0.013882,0.0061721,0.014049,0.016498,0.0058036,0.016962,0.012246,0.0074815,0.015765,0.0075345,0.014318,0.0085923,0.016134,0.0069746,0.012647,0.014206,0.015576,0.014445,0.0061728,0.018887,0.01309,0.0055507,0.013428,0.0076378,0.0063675,0.014726,0.013781,0.0064174,0.019586,0.016326,0.014643,0.013487,0.0058395,0.013928,0.0058515,0.010828,0.005898,0.010482,0.012066,0.0064721,0.0058961,0.011304,0.015181,0.015469,0.0098467,0.013478,0.006081,0.012011,0.013366
00220 Arginine biosynthesis [PATH:ko00220],0.013388,0.011874,0.011502,0.011569,0.011539,0.011358,0.014129,0.011965,0.011571,0.014067,0.011573,0.011905,0.011874,0.010741,0.012215,0.014201,0.012198,0.014026,0.011165,0.011496,0.012234,0.011137,0.01115,0.014049,0.011778,0.012368,0.014412,0.01211,0.011563,0.011159,0.011676,0.012197,0.012844,0.012895,0.011464,0.011963,0.011307,0.011684,0.012259,0.014074,0.011787,0.011787,0.011612,0.012696,0.0099978,0.010498,0.014421,0.010435,0.010204,0.013545,0.010545,0.010343,0.01245,0.010452,0.011642,0.013471,0.010655,0.011629,0.013711,0.011879,0.010847,0.013298,0.010341,0.01321,0.010073,0.011661,0.010501,0.012922,0.010692,0.010479,0.010298,0.010985,0.013597,0.011995,0.010646,0.01409,0.01165,0.012155,0.012325,0.010769,0.01146,0.01239,0.011392,0.010869,0.010958,0.011455,0.014039,0.011586,0.013805,0.01212,0.01406,0.012572,0.012051,0.013074,0.014386,0.011896,0.011603,0.011929,0.012189,0.01151,0.013927,0.011815,0.011669
00230 Purine metabolism [PATH:ko00230],0.058475,0.060219,0.05903,0.062275,0.061295,0.057352,0.055957,0.058595,0.055198,0.056465,0.05879,0.056226,0.056787,0.059941,0.057484,0.055566,0.057147,0.053624,0.056281,0.060774,0.062119,0.067401,0.06148,0.055705,0.05938,0.056627,0.057479,0.058424,0.051541,0.052053,0.051694,0.051879,0.053726,0.049297,0.053253,0.055855,0.054406,0.054562,0.057719,0.056019,0.055537,0.056467,0.057198,0.053208,0.056573,0.063758,0.058709,0.058952,0.059054,0.054637,0.057638,0.061688,0.057507,0.057116,0.058167,0.056024,0.056308,0.058645,0.055334,0.058617,0.057381,0.056213,0.057755,0.054561,0.057919,0.054621,0.055605,0.053594,0.055252,0.05653,0.057081,0.067777,0.054717,0.05735,0.066775,0.057086,0.058336,0.052213,0.053095,0.058736,0.063469,0.052172,0.058769,0.061,0.057442,0.057303,0.055554,0.057011,0.055884,0.055154,0.054116,0.056326,0.056332,0.054807,0.055728,0.057519,0.059866,0.058355,0.055699,0.058957,0.055361,0.056857,0.056517
00240 Pyrimidine metabolism [PATH:ko00240],0.042581,0.045686,0.044872,0.048355,0.047356,0.044264,0.039841,0.043868,0.040996,0.040313,0.04512,0.042848,0.043305,0.049402,0.042794,0.039554,0.04283,0.037188,0.042187,0.047088,0.04737,0.053767,0.047617,0.040174,0.044498,0.042053,0.041645,0.043887,0.040103,0.041138,0.040946,0.039433,0.03856,0.038476,0.041229,0.042686,0.042225,0.040696,0.043329,0.040121,0.041198,0.042137,0.043041,0.037776,0.043767,0.050899,0.042336,0.045914,0.045822,0.039112,0.044156,0.047961,0.042358,0.043603,0.044042,0.040133,0.043241,0.044418,0.040196,0.044221,0.044029,0.040845,0.04461,0.040881,0.04602,0.041312,0.042712,0.040334,0.042307,0.043041,0.043535,0.054346,0.038999,0.042774,0.054839,0.04094,0.0457,0.03753,0.03845,0.045498,0.049622,0.037869,0.045142,0.0485,0.04307,0.042508,0.03965,0.042259,0.039946,0.041619,0.038398,0.041621,0.041705,0.040436,0.03955,0.043234,0.04636,0.044664,0.042245,0.046333,0.039227,0.04383,0.043608
"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]",0.023516,0.021887,0.022289,0.021935,0.022082,0.022747,0.024118,0.022576,0.023239,0.024141,0.023233,0.023873,0.023706,0.022103,0.022121,0.024305,0.021942,0.023253,0.022033,0.022894,0.022117,0.021093,0.021471,0.023456,0.021898,0.022783,0.024246,0.022377,0.023326,0.022635,0.023423,0.025826,0.023433,0.02575,0.023437,0.023681,0.023647,0.023611,0.02302,0.023976,0.023616,0.022931,0.023436,0.023453,0.022199,0.02265,0.024936,0.022825,0.021945,0.024158,0.022133,0.022613,0.023537,0.022613,0.023494,0.024182,0.022859,0.022372,0.023648,0.022857,0.022296,0.023821,0.022589,0.023457,0.021948,0.02266,0.022374,0.023435,0.023128,0.022128,0.022061,0.022203,0.023905,0.022443,0.022136,0.024617,0.022781,0.023138,0.023399,0.022826,0.023358,0.02351,0.021892,0.022112,0.021768,0.022688,0.024233,0.022867,0.023994,0.02355,0.024028,0.023665,0.023487,0.024034,0.024429,0.023771,0.022767,0.023057,0.02383,0.023402,0.024006,0.023349,0.023264
"00260 Glycine, serine and threonine metabolism [PATH:ko00260]",0.031799,0.030235,0.030822,0.031422,0.031114,0.031481,0.034661,0.031426,0.033152,0.034251,0.033256,0.035004,0.034675,0.032047,0.031608,0.0352,0.031548,0.030315,0.031203,0.032743,0.03041,0.029731,0.029057,0.032777,0.029927,0.032427,0.034789,0.03145,0.03443,0.033391,0.033696,0.035724,0.033659,0.036464,0.033997,0.034265,0.033856,0.031971,0.032277,0.034618,0.030982,0.030223,0.033084,0.034573,0.031548,0.03236,0.035186,0.032864,0.032579,0.03536,0.032392,0.032678,0.034429,0.03336,0.033518,0.035138,0.032938,0.03086,0.033582,0.029818,0.032,0.032963,0.031119,0.034305,0.030545,0.032418,0.031144,0.034913,0.032507,0.031045,0.030601,0.030771,0.034494,0.029975,0.031579,0.03414,0.033203,0.033481,0.032221,0.032695,0.033283,0.03131,0.030015,0.030083,0.030978,0.03157,0.033535,0.031939,0.03439,0.033968,0.035267,0.03379,0.033315,0.034113,0.0352,0.033947,0.032861,0.033746,0.034,0.033602,0.034421,0.03382,0.034036
00270 Cysteine and methionine metabolism [PATH:ko00270],0.022823,0.022204,0.022209,0.021973,0.021976,0.021698,0.023695,0.022121,0.022111,0.023449,0.022005,0.021715,0.02149,0.0212,0.021696,0.023627,0.021578,0.022955,0.02146,0.021236,0.022472,0.02242,0.0217,0.023548,0.021997,0.021938,0.023803,0.021977,0.021089,0.020753,0.019739,0.02013,0.023168,0.020034,0.022433,0.022481,0.021779,0.021598,0.021922,0.023677,0.021761,0.021574,0.021562,0.02245,0.021478,0.020921,0.023396,0.021641,0.0217,0.023134,0.021785,0.02108,0.022553,0.021655,0.021806,0.02337,0.022026,0.021752,0.023385,0.022112,0.021125,0.022685,0.02174,0.022704,0.021135,0.021906,0.021833,0.022329,0.021914,0.021248,0.021113,0.020426,0.023429,0.022021,0.02106,0.023236,0.021343,0.022486,0.022133,0.021915,0.020966,0.021844,0.022197,0.02177,0.021728,0.021573,0.023337,0.021704,0.023438,0.021966,0.023405,0.022325,0.022097,0.022198,0.023662,0.021828,0.021703,0.021775,0.021865,0.021533,0.023503,0.021874,0.021863
"00280 Valine, leucine and isoleucine degradation [PATH:ko00280]",0.016854,0.013414,0.013983,0.013967,0.014254,0.017933,0.018754,0.013918,0.017798,0.018853,0.01616,0.017006,0.016758,0.018404,0.014113,0.019003,0.01384,0.019155,0.017337,0.016331,0.015142,0.013112,0.017444,0.01923,0.014369,0.016289,0.017522,0.013881,0.019506,0.019608,0.020393,0.018153,0.020168,0.018843,0.017561,0.015534,0.015217,0.014437,0.014504,0.018598,0.014361,0.013798,0.016298,0.017883,0.015779,0.016274,0.017336,0.016304,0.016115,0.018359,0.01581,0.01744,0.017231,0.016401,0.015581,0.018256,0.016067,0.014442,0.018806,0.013672,0.016527,0.018598,0.015845,0.017148,0.017557,0.017634,0.015909,0.017891,0.016582,0.016586,0.015987,0.017187,0.019045,0.013469,0.016637,0.018992,0.015709,0.016525,0.01766,0.015672,0.017753,0.017813,0.013963,0.014451,0.015231,0.01662,0.018974,0.016299,0.019325,0.018241,0.019436,0.016797,0.016627,0.019328,0.018798,0.017222,0.015486,0.015162,0.017638,0.01644,0.019037,0.016774,0.016755
"00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]",0.01373,0.012606,0.012369,0.012291,0.012393,0.013695,0.0145,0.012683,0.013262,0.014352,0.012815,0.01296,0.012734,0.011979,0.012696,0.01408,0.012914,0.013456,0.012829,0.012633,0.012747,0.011872,0.012247,0.014529,0.012597,0.01328,0.014551,0.012816,0.011876,0.011747,0.012068,0.010465,0.013589,0.011308,0.013095,0.012879,0.013803,0.013572,0.013001,0.014681,0.013456,0.013369,0.012939,0.012145,0.012675,0.012398,0.013845,0.013088,0.01283,0.012965,0.013048,0.012484,0.013044,0.013113,0.013011,0.013508,0.013182,0.01262,0.014709,0.013342,0.012984,0.013617,0.012668,0.014071,0.011946,0.013798,0.012748,0.014044,0.012902,0.012467,0.012304,0.011686,0.013717,0.013177,0.012336,0.014219,0.013218,0.01216,0.012424,0.013169,0.012662,0.012383,0.012878,0.012551,0.012876,0.012515,0.013771,0.01272,0.014319,0.013423,0.014139,0.013433,0.013244,0.013947,0.014371,0.013012,0.012738,0.013133,0.013621,0.013183,0.014095,0.013258,0.013457
00300 Lysine biosynthesis [PATH:ko00300],0.012653,0.012751,0.012607,0.012573,0.012823,0.010083,0.012393,0.012529,0.012199,0.012391,0.012701,0.012843,0.013107,0.011608,0.012471,0.012224,0.012558,0.011703,0.01139,0.012336,0.012098,0.012073,0.010452,0.012283,0.012496,0.012543,0.013118,0.013327,0.012144,0.011875,0.012293,0.012174,0.010853,0.012375,0.013085,0.014272,0.01389,0.014207,0.012859,0.012367,0.013898,0.013534,0.012419,0.010413,0.012528,0.012294,0.012381,0.012618,0.012517,0.01133,0.012835,0.011228,0.011775,0.012634,0.012561,0.011546,0.01257,0.012315,0.01202,0.013145,0.0119,0.012018,0.011976,0.012157,0.011547,0.012034,0.012015,0.011988,0.012595,0.011933,0.012126,0.010596,0.01186,0.012889,0.011594,0.011697,0.012986,0.010488,0.010506,0.012701,0.011494,0.010357,0.01261,0.012825,0.01281,0.012174,0.012224,0.01227,0.01187,0.011897,0.011903,0.01269,0.012605,0.011378,0.01248,0.012228,0.012273,0.012764,0.012318,0.012455,0.012229,0.012358,0.012227
00310 Lysine degradation [PATH:ko00310],0.0080536,0.0080838,0.0081549,0.0081914,0.0083121,0.0090809,0.0080619,0.0081205,0.0095209,0.0081047,0.009126,0.01009,0.0099987,0.010886,0.0082582,0.0085124,0.0082605,0.0089825,0.0093655,0.0093752,0.0079332,0.0080225,0.0084674,0.0081019,0.0088465,0.0087362,0.0080171,0.0085253,0.011305,0.011426,0.011902,0.011387,0.0085883,0.011138,0.010932,0.010457,0.01025,0.0099807,0.0082587,0.0078297,0.0096512,0.0089634,0.0097491,0.0086527,0.010317,0.0097516,0.0082129,0.010121,0.010031,0.0090286,0.0096667,0.0099673,0.0089245,0.010192,0.009327,0.0082435,0.010101,0.0080808,0.008126,0.0084241,0.0088168,0.0086729,0.0096147,0.0081702,0.0099796,0.0092495,0.0094703,0.0084882,0.0098936,0.009727,0.0094537,0.0084123,0.0084445,0.0083248,0.0098853,0.0083701,0.010019,0.0081065,0.0078442,0.0094915,0.0094217,0.0079676,0.0084019,0.0084199,0.0086735,0.0087848,0.0085256,0.0087767,0.0082132,0.0095564,0.0083491,0.0089701,0.0090937,0.0081823,0.0082844,0.009312,0.0089722,0.0090303,0.0095192,0.009376,0.0084191,0.0096081,0.0097783
00330 Arginine and proline metabolism [PATH:ko00330],0.014489,0.014559,0.014361,0.014406,0.014156,0.014659,0.015403,0.014506,0.014559,0.015172,0.01418,0.014809,0.014746,0.015217,0.014605,0.016138,0.014489,0.014948,0.01486,0.014038,0.014717,0.014769,0.014482,0.015684,0.014954,0.014599,0.015276,0.014712,0.015557,0.015599,0.015732,0.014782,0.01682,0.015233,0.015828,0.015202,0.01414,0.013686,0.014166,0.015527,0.014178,0.014122,0.014735,0.015285,0.014272,0.014616,0.014234,0.014343,0.01448,0.015518,0.01403,0.014297,0.014428,0.014531,0.014545,0.015135,0.014525,0.01408,0.015429,0.014378,0.014481,0.015072,0.013806,0.01554,0.013628,0.014771,0.01402,0.016041,0.013744,0.013998,0.013919,0.013654,0.016377,0.01445,0.014567,0.015333,0.014291,0.015167,0.014982,0.014103,0.014296,0.015745,0.014251,0.013695,0.01389,0.01407,0.015364,0.01396,0.015539,0.014987,0.016034,0.014052,0.014026,0.015345,0.015402,0.014099,0.013907,0.014035,0.014447,0.013867,0.015355,0.014711,0.014734
00340 Histidine metabolism [PATH:ko00340],0.01032,0.011166,0.010831,0.010738,0.010898,0.010093,0.0099903,0.011152,0.010859,0.009868,0.010922,0.011132,0.011202,0.010782,0.010872,0.010175,0.010972,0.0098643,0.010612,0.010554,0.010254,0.010455,0.010051,0.0097488,0.010908,0.010994,0.010146,0.011071,0.011655,0.011491,0.011909,0.012598,0.010401,0.013026,0.011427,0.011852,0.011402,0.011834,0.011028,0.0097064,0.011595,0.011322,0.010687,0.011098,0.010472,0.010184,0.010391,0.010599,0.010413,0.010557,0.010394,0.010363,0.010532,0.010721,0.010866,0.010162,0.010914,0.010881,0.010097,0.011236,0.011242,0.010224,0.010597,0.010624,0.010456,0.010802,0.01071,0.010682,0.010871,0.010525,0.010513,0.0099155,0.010079,0.011099,0.010377,0.01023,0.011099,0.01072,0.0099939,0.010741,0.010297,0.0099908,0.010866,0.01044,0.010634,0.010974,0.0099247,0.010993,0.010026,0.011062,0.009922,0.011382,0.011144,0.010167,0.0099767,0.010947,0.010543,0.010933,0.011035,0.010873,0.010093,0.0105,0.010534
00350 Tyrosine metabolism [PATH:ko00350],0.0069098,0.0055898,0.005596,0.0056377,0.0057391,0.0060434,0.0077008,0.0056494,0.0067123,0.0075657,0.0065408,0.006696,0.0067145,0.0066085,0.0058107,0.0076271,0.0057964,0.007657,0.005834,0.0065336,0.0061707,0.0055731,0.0066703,0.007751,0.0056926,0.0066254,0.0074396,0.0055867,0.0069005,0.0069123,0.0070148,0.0065603,0.0077574,0.0068194,0.0069703,0.0067176,0.0060697,0.0060016,0.0062451,0.0077516,0.0057706,0.0055294,0.0060477,0.0072442,0.0056702,0.0060407,0.0067624,0.0060105,0.0056865,0.0070266,0.0055427,0.0060584,0.0065852,0.0059576,0.0061535,0.0073842,0.0059576,0.0059768,0.0077819,0.0056031,0.0064294,0.0071505,0.0056539,0.0075248,0.0061827,0.00705,0.0057887,0.0078885,0.0060761,0.0059161,0.0056268,0.0060995,0.0076153,0.0053315,0.0060872,0.0074583,0.0059877,0.0069246,0.007328,0.0056437,0.0062933,0.007291,0.0053892,0.0056272,0.0058292,0.0062811,0.0073594,0.0062367,0.0075878,0.0069758,0.007945,0.0068796,0.0065677,0.0078599,0.0076879,0.00661,0.0059462,0.0059802,0.0067842,0.0060657,0.0078414,0.0062683,0.0061675
00360 Phenylalanine metabolism [PATH:ko00360],0.0094664,0.0073454,0.0074423,0.0073854,0.0075514,0.0086465,0.010484,0.0073609,0.0091587,0.010363,0.0084933,0.0091178,0.0090632,0.0098427,0.0078783,0.010714,0.007826,0.01085,0.008595,0.0089449,0.0084783,0.007449,0.0090879,0.010966,0.0082389,0.0089837,0.0099174,0.0075539,0.0098015,0.010269,0.010429,0.0089589,0.011342,0.0085671,0.0091582,0.0080937,0.0085816,0.0088364,0.0083759,0.01046,0.0084922,0.0083188,0.0085459,0.0093717,0.0085555,0.0081839,0.0093077,0.0081626,0.0082805,0.0096185,0.0082013,0.0085105,0.0088366,0.008412,0.0083115,0.0098794,0.0084872,0.0082044,0.010851,0.0078997,0.0089351,0.010308,0.0081053,0.010009,0.0090852,0.0098407,0.008335,0.010562,0.0085477,0.0085381,0.0082297,0.0085627,0.010833,0.0076328,0.0083334,0.010599,0.0083832,0.0087436,0.0094097,0.0078793,0.008709,0.0099797,0.0076671,0.007928,0.0083961,0.0085583,0.010243,0.0083979,0.010722,0.0094677,0.010874,0.0092824,0.0089643,0.010472,0.010397,0.0090933,0.0081966,0.0081313,0.0093519,0.0084646,0.010572,0.0089129,0.0088332
00361 Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361],0.0015231,0.0014846,0.001533,0.0015339,0.001523,0.0016189,0.0019884,0.0014423,0.0018595,0.0018557,0.0017739,0.0016478,0.0016176,0.0013831,0.0013926,0.0018683,0.0014361,0.0021261,0.0014906,0.0016886,0.0016691,0.001465,0.0019283,0.002167,0.0016727,0.0018933,0.0019508,0.0016106,0.0015247,0.0015983,0.0017669,0.0010278,0.0020026,0.0010267,0.0016034,0.0015464,0.0014645,0.0017977,0.0014854,0.0020828,0.0017492,0.0015888,0.0015182,0.0014339,0.001414,0.0013924,0.0013387,0.0014537,0.0013845,0.0016223,0.0014596,0.001375,0.0013694,0.0014766,0.0014568,0.0016484,0.0014229,0.0014406,0.0021178,0.0014346,0.0017736,0.0016505,0.0012803,0.0018732,0.0014835,0.0020427,0.0014753,0.0020226,0.0014135,0.0014009,0.0012819,0.001309,0.0020246,0.0015611,0.0014263,0.0016217,0.0015945,0.0013885,0.0014556,0.0013959,0.0013705,0.0015398,0.0013756,0.0016919,0.0018973,0.0015869,0.0017533,0.0015812,0.0019343,0.0017155,0.0020241,0.0017226,0.0016828,0.0017675,0.001861,0.0015805,0.001486,0.0014512,0.001646,0.0013852,0.0018905,0.0014968,0.0014717
